;AT;BE;CH;CZ;DE;DK;ES;FR;GB;IE;IT;LU;NL;NO;PL;PT;SE
t3221;7305;8481;4215;6427;52455;2996;23711;45284;23542;2043;27388;506;9772;12373;13417;4394;13038
t3222;8571;9341;4629;7427;59894;3568;25438;50766;24047;2062;30078;546;10758;13602;15466;4395;14639
t3223;9353;9989;5110;7995;65764;4232;27636;54960;28708;2229;35559;608;12748;14892;17516;4510;16111
t3224;9651;10448;5483;8137;68289;4492;28933;56051;34651;2790;40581;661;14140;14958;18447;5182;16437
t3225;9807;10786;5547;8288;69168;4542;29657;56540;36405;3221;42659;679;14774;14819;18775;6007;16319
t3226;9870;10870;5650;8260;70723;4601;29918;56322;36555;3329;43218;696;14855;14878;18791;6172;16345
t3227;10014;11097;5738;8291;72050;4537;30542;56721;36272;3331;43412;724;14967;14291;19047;6287;16205
t3228;9690;10802;5281;8292;70710;4450;30585;56591;36433;3332;41454;697;14702;14469;19022;6417;16025
t3229;9671;10769;5360;8148;70337;4411;29471;55148;36298;3346;41416;688;14693;14305;18986;6135;15818
t3230;9531;10659;5362;8017;69326;4298;28879;53638;35802;3287;41823;677;14513;14228;18642;6321;15686
t3231;9451;10544;5313;8060;68111;4116;28763;52038;35422;3258;41245;667;14388;14179;18557;6470;15403
t3232;9299;10492;5194;8019;66435;4025;28906;50607;35368;3277;41097;655;14351;14333;18294;6440;15170
t3233;9343;10588;4953;7946;66001;4107;28672;50247;36563;3311;39906;650;14391;14253;18019;6449;15100
t3234;9177;10381;4897;7794;65679;4033;28525;51987;37123;3358;38549;655;13775;14200;17957;6157;14803
t3235;8768;10008;4778;7809;65033;3853;28717;51030;36725;3320;38655;654;13440;14153;18213;6110;14674
t3236;8479;9600;4697;7763;63014;3672;29883;48557;35950;3171;39483;615;13054;14104;18591;6095;14651
t3237;7866;9495;4841;7521;62095;3577;28947;49544;35165;3078;38957;598;12842;13940;18309;6244;14473
t3238;7558;9899;4747;7055;59152;3463;26445;52553;35323;3121;35486;588;12566;13538;16991;6279;13896
t3239;6970;9568;4496;6663;54063;3100;25034;51778;32309;3035;32327;546;11807;12682;15561;5889;12835
t3240;6575;8749;4531;6345;50226;2839;23436;46955;27890;2663;29544;509;10827;11983;14478;5341;12147
t3241;6265;8237;4726;6333;48138;2671;22524;45924;25019;2391;27923;479;10063;11710;13846;4897;11862
t3242;6175;7941;4822;6246;47025;2588;22124;43538;24279;2202;27003;482;9690;11558;13557;4675;11684
t3243;6116;7889;4837;6124;47547;2568;21918;41878;23780;2076;26599;485;9547;11519;13617;4556;11686
t3244;6411;7994;4789;6161;49253;2561;22316;42255;23279;2021;26731;500;9560;11475;13417;4525;11614
t3245;7298;8357;4755;6373;52243;2544;23923;44973;23054;1998;27535;515;9793;11720;13613;4476;12002
t3246;8640;9106;4871;7483;59370;2724;26130;50381;23508;1997;30356;556;10726;12769;15630;4413;13467
t3247;9561;9916;5132;8057;65338;3069;28365;54230;28063;2171;35911;622;12583;14199;17549;4648;15043
t3248;9910;10315;5307;8247;68375;3405;29521;55268;33928;2735;41136;669;14034;14566;18587;5317;15592
t3249;10027;10615;5359;8407;69094;3585;30159;55799;35723;3178;42896;689;14627;14565;19090;5928;15596
t3250;10222;10692;5454;8281;70140;3654;30681;55645;36053;3299;43744;691;14744;14441;19232;6157;15731
t3251;10092;10789;5675;8256;71013;3634;31080;55907;35692;3326;42987;706;14697;14222;19540;6295;15642
t3252;9757;10556;5289;8255;70149;3545;30983;55732;35481;3313;41073;685;14403;14061;19621;6342;15421
t3253;9493;10431;5222;8142;68610;3454;29779;53936;35405;3319;40430;664;14329;13730;19473;6086;15004
t3254;9242;10353;5160;8044;66991;3383;28935;52329;34824;3266;41156;653;14107;13667;19136;6246;14607
t3255;9136;10115;4950;8119;65541;3308;28793;50380;34291;3210;41202;649;13878;13393;18814;6322;14248
t3256;9073;10070;4795;8066;63983;3331;28858;48892;33861;3204;40858;630;13767;12990;18592;6354;13921
t3257;9126;10055;4675;7989;63297;3499;28643;48795;34768;3198;39458;631;13874;12787;18332;6339;13822
t3258;8936;9822;4685;7751;62875;3522;28309;49646;35190;3247;38544;633;13481;12704;18225;6088;13506
t3259;8611;9518;4657;7775;62254;3336;28316;48590;34575;3222;38798;628;13010;12775;18339;6033;13228
t3260;8279;9209;4542;7639;59866;3187;29165;46607;33423;3087;39124;602;12493;12796;18600;6080;12958
t3261;7638;9139;4758;7234;59008;3176;28407;48005;32562;2939;38354;584;12228;12624;18114;6093;12913
t3262;7503;9550;4738;6708;56688;3166;26256;51230;32996;2926;35257;576;12190;12539;16838;6153;12621
t3263;6861;9292;4531;6354;52135;2926;24870;50094;30880;2921;32135;546;11511;12059;15618;5803;12006
t3264;6461;8576;4515;5868;48291;2721;23287;44925;27331;2644;29321;509;10552;11479;14532;5240;11473
t3265;6160;8024;4364;5693;45889;2564;22177;43283;24733;2412;27634;487;9816;11127;13778;4857;11130
t3266;5964;7691;4299;5678;44576;2507;21487;40850;23652;2213;26621;467;9336;10765;13391;4573;11010
t3267;5808;7524;4359;5671;44479;2498;21091;38722;22910;2062;26124;473;9154;10541;13335;4456;11035
t3268;5832;7355;4266;5631;44849;2477;20893;38063;22293;1984;26006;476;9087;10513;13024;4394;10791
t3269;6143;7337;4359;5434;45019;2436;20882;38411;21848;1956;25868;477;8925;10463;12610;4329;10664
t3270;6568;7482;4238;5740;46517;2602;21170;39640;21519;1905;26173;469;9113;10791;13402;4170;10908
t3271;7224;7882;3927;6163;50122;2881;23054;41970;23285;1961;29805;497;9900;11518;14737;4087;11445
t3272;7836;8496;4001;6588;54331;3235;25300;44611;26481;2214;33226;532;10888;12273;16022;4370;12184
t3273;8113;9076;4074;6956;57580;3442;26709;46478;29756;2575;35575;563;11792;12543;17034;4781;12749
t3274;8328;9273;4131;7128;59257;3518;27147;46692;31379;2873;36017;577;12117;12190;17345;5100;13059
t3275;8415;9388;4218;7262;59922;3487;27335;47362;31306;2981;35571;587;12083;11792;17697;5212;13016
t3276;8022;9317;4224;7126;58471;3414;27432;48786;30645;2992;34163;577;11866;11475;17564;5368;12867
t3277;7772;8995;4735;6961;56375;3356;26701;45945;29973;2999;33134;550;11638;11320;17328;5322;12662
t3278;7601;8728;4741;6924;54271;3283;25297;44111;28991;2936;32461;549;11387;11045;16699;5238;12444
t3279;7495;8682;4756;6967;53329;3225;24548;42295;28133;2816;32545;534;11199;11026;16325;5216;12271
t3280;7529;8744;4624;6864;52483;3237;24474;41254;27872;2757;32236;533;11224;10988;16082;5147;12351
t3281;7619;8781;4323;6660;53160;3428;24227;41455;28650;2776;31921;535;11535;11149;15827;5059;12471
t3282;7440;8754;4239;6670;53551;3432;24165;42768;29891;2849;31705;536;11585;11256;15788;5021;12400
t3283;7240;8569;4142;6610;52991;3243;24592;42345;30173;2870;32488;540;11416;11287;15849;5126;12228
t3284;7138;8408;4118;6576;50966;3138;26182;41018;29768;2792;33565;529;11244;11262;16099;5257;11989
t3285;6671;8419;4304;6409;50466;3071;26248;42803;29320;2688;33432;526;11153;11285;16154;5432;11985
t3286;6671;8739;4393;6076;49774;3078;24580;46891;29848;2670;31138;538;11289;11439;15139;5525;12067
t3287;6088;8445;4288;5715;46382;2879;22854;46786;28462;2639;28838;509;10694;11255;13965;5291;11533
t3288;5761;7933;4404;5463;42971;2656;21335;42121;25413;2397;26570;476;9824;10985;12912;4839;11085
t3289;5441;7474;4270;5361;40774;2511;20204;40537;22923;2214;24814;456;9271;10676;12267;4484;10842
t3290;5292;7200;4450;5426;39609;2437;19659;37847;21943;2083;23614;442;8927;10623;11801;4239;10702
t3291;5161;7070;4342;5363;39261;2421;19410;35532;20990;1958;23068;443;8706;10517;11632;4092;10615
t3292;5206;6975;4338;5310;39654;2417;19423;34729;20333;1882;23032;437;8580;10329;11244;4046;10369
t3293;5262;6904;4345;5043;39189;2410;19057;34230;19728;1866;22574;436;8376;10328;10954;3965;10290
t3294;5501;6932;4090;5228;39351;2524;18724;34152;19130;1837;21857;418;8320;10463;11353;3816;10381
t3295;6079;7256;3833;5582;41788;2754;19695;35618;20163;1810;23838;439;8687;10739;12172;3729;10666
t3296;6435;7713;3899;6011;45951;3075;21569;38041;22296;1945;26778;462;9420;11115;13177;3911;11364
t3297;6869;8171;4027;6471;49283;3295;23092;40166;25143;2195;29039;487;10156;11644;14033;4177;12061
t3298;7161;8456;4160;6874;51692;3381;23922;41533;27313;2446;30066;505;10584;11926;14541;4450;12488
t3299;7343;8643;4138;7051;54048;3404;24135;42744;28342;2676;30644;534;10685;12034;14709;4724;12630
t3300;6913;8661;4218;6780;53355;3377;24403;44441;28570;2814;30425;524;10710;11831;14649;4949;12656
t3301;6632;8418;4032;6716;50977;3359;24190;41264;28546;2915;29111;492;10567;11696;14631;4980;12514
t3302;6404;8202;3722;6620;49372;3352;22999;39505;27836;2927;28391;479;10344;11533;14277;4813;12429
t3303;6308;8078;3707;6535;48714;3353;22403;37853;27134;2827;27709;474;10257;11516;13909;4713;12488
t3304;6396;8041;3933;6474;48433;3457;22174;37064;27172;2743;27103;459;10471;11516;13833;4617;12719
t3305;6550;8163;4126;6437;49486;3749;22297;37749;28178;2740;27301;471;11099;11488;13770;4628;12900
t3306;6773;8414;4007;6563;50503;3747;22751;40120;29458;2831;27682;490;11276;11575;13977;4661;13015
t3307;6801;8446;3908;6718;50891;3582;23757;41196;30146;2864;28866;504;11320;11719;14256;4754;13013
t3308;6963;8393;3996;6751;50174;3449;25857;40921;30374;2809;30680;501;11215;11781;14746;4958;12857
t3309;6708;8510;4284;6691;50796;3361;26319;42345;30356;2736;31809;507;11201;11727;15432;5228;12720
t3310;6655;8794;4241;6574;50813;3183;24398;45944;30905;2737;29887;518;11385;11715;14760;5408;12299
t3311;6180;8306;3948;6190;47071;2931;22630;45081;28994;2672;27446;480;10604;11344;13514;5099;11501
t3312;5868;7665;4079;6022;43959;2736;21204;40483;25118;2389;25217;448;9845;10905;12611;4721;10971
t3313;5592;7352;4231;6046;42555;2631;20484;39437;22647;2198;23728;430;9336;10582;12103;4456;10825
t3314;5527;7141;4176;5922;41944;2586;20099;37113;22190;2041;23027;421;9149;10423;11902;4210;10757
t3315;5482;7044;4062;5828;42393;2582;20171;35416;21666;1942;22902;426;9098;10434;11882;4129;10724
t3316;5908;7244;4052;5793;44257;2639;20805;36067;21311;1895;23313;439;9135;10381;11708;4113;10660
t3317;6804;7595;4283;6065;48075;2817;22707;39021;21270;1896;24299;461;9307;10493;12029;4112;11200
t3318;8157;8473;4562;7105;56801;3413;25223;44030;21820;1910;27745;517;10347;11656;14494;4124;13153
t3319;8919;9463;5018;7667;63514;4047;27953;48408;26533;2088;33511;592;12247;12930;16817;4215;14859
t3320;9101;10047;5218;7786;66900;4345;29254;50589;32711;2623;38695;644;13808;13199;17957;4938;15387
t3321;9105;10512;5223;7853;68167;4428;30085;51940;35217;3077;40800;658;14451;13182;18234;5755;15438
t3322;9279;10692;5280;7737;69674;4538;30587;52648;35969;3234;41221;674;14599;13022;18271;5934;15626
t3323;9337;10919;5477;7728;71002;4536;31044;53707;35888;3293;40858;692;14756;12850;18347;6095;15690
t3324;9017;10662;5040;7727;70589;4452;31003;53927;36113;3338;39249;675;14704;12889;18400;6231;15682
t3325;8970;10655;5191;7617;70002;4477;29957;52955;36188;3382;39101;662;14866;12952;18386;5927;15531
t3326;8932;10631;5160;7499;68772;4409;29376;51743;35600;3344;40273;652;14774;12858;18056;6104;15377
t3327;8757;10496;5088;7526;67547;4211;29297;50339;35391;3312;40157;646;14684;12686;17836;6166;15221
t3328;8579;10387;5109;7435;65732;4119;29202;49292;35448;3319;39954;639;14692;12502;17558;6168;14897
t3329;8655;10415;4863;7346;64973;4295;29051;48983;36487;3372;39036;636;14589;12518;17245;6138;14936
t3330;8496;10247;4800;7174;64236;4168;29076;50519;36907;3445;38134;648;13864;12612;17029;5917;14676
t3331;8151;9854;4538;7307;63613;3940;29429;49182;36165;3390;38479;647;13354;12471;17250;5824;14424
t3332;8127;9477;4445;7300;61353;3723;30430;46493;35235;3231;38950;612;12855;12376;17733;5790;14105
t3333;7807;9325;4605;7217;60469;3588;28983;46338;34281;3137;38296;599;12617;12320;17931;5963;13822
t3334;7442;9723;4425;6776;57719;3478;26448;49364;34187;3112;34847;581;12613;12076;16592;6019;13217
t3335;6698;9169;4223;6347;52467;3119;24865;48176;31400;2944;31806;540;11820;11395;15124;5603;12086
t3336;6352;8466;4299;6119;48898;2869;23552;43068;27207;2603;29233;505;10735;10839;13987;5035;11309
t3337;6032;8032;4220;6140;46955;2734;22566;41715;24365;2346;27483;486;10026;10472;13331;4705;10968
t3338;5889;7680;4177;6047;45944;2666;22196;39608;23428;2180;26551;470;9697;10367;13006;4514;10846
t3339;5830;7591;4105;5881;46134;2675;22118;37734;22729;2067;26356;468;9616;10409;13053;4378;10900
t3340;6065;7757;4067;5909;47425;2704;22394;37933;22286;2006;26549;480;9579;10391;12707;4323;10788
t3341;6884;7975;4360;6097;50673;2838;23957;40191;22205;1995;27074;506;9719;10524;12899;4310;11221
t3342;8132;8807;4567;7089;58704;3422;26245;45191;22897;2007;30114;554;10696;11736;15142;4283;13120
t3343;8822;9756;4928;7631;65021;4066;28741;49612;27429;2191;35879;628;12621;13025;17198;4407;14857
t3344;8929;10288;5162;7714;68342;4351;29904;51820;33540;2738;40748;674;14075;13412;18186;5076;15275
t3345;9015;10645;5132;7698;69214;4434;30540;53088;36112;3194;42712;689;14857;13234;18479;5756;15410
t3346;9147;10927;5263;7522;70614;4507;30873;53578;37132;3343;43221;701;15116;13047;18406;5963;15375
t3347;9242;11017;5474;7597;72131;4487;31238;54689;37225;3370;43497;709;15307;13035;18661;6054;15365
t3348;8953;10733;5089;7651;71279;4396;31483;54900;37234;3385;41490;700;15117;13125;18716;6174;15154
t3349;8870;10701;5225;7557;70684;4411;30151;53679;37080;3432;41278;686;15197;13142;18734;5815;15171
t3350;8804;10712;5211;7472;69665;4337;29346;52424;36468;3370;42345;677;15169;13132;18443;6037;14967
t3351;8633;10646;5197;7521;68373;4164;29320;51184;36194;3334;42327;667;15079;12782;18224;6191;14841
t3352;8480;10512;5104;7468;66633;4057;29382;50020;36319;3375;42328;656;15040;12742;17784;6238;14685
t3353;8469;10563;4871;7346;65832;4211;29005;49985;37593;3449;40679;660;14878;12557;17456;6197;14660
t3354;8358;10438;4701;7250;64943;4090;29044;51506;38114;3520;39049;668;14082;12285;17324;5999;14264
t3355;8142;10004;4541;7339;63821;3880;29379;49984;37350;3421;38722;651;13628;12265;17389;5954;14128
t3356;8119;9659;4435;7316;61606;3699;30370;47362;36202;3223;39222;622;13030;12274;17816;6107;13879
t3357;7710;9649;4753;7255;60805;3574;28960;47182;35133;3094;39251;607;12890;12175;18073;6202;13653
t3358;7368;9754;4664;6939;57775;3481;26398;49929;34680;3072;35976;581;12674;12077;16756;6122;13163
t3359;6586;9273;4361;6456;52702;3133;24836;48631;31756;2944;32750;539;11836;11620;15291;5673;12216
t3360;6296;8599;4289;6109;48946;2884;23400;43320;27487;2604;29959;499;10828;10937;14134;5094;11455
t3361;6167;8170;4208;6096;47106;2733;22630;42010;24645;2350;28240;476;10138;10558;13482;4716;11132
t3362;5950;7918;4264;5973;46052;2693;22374;39663;23823;2173;27354;473;9867;10538;13189;4495;11052
t3363;5972;7811;4187;5825;46192;2689;22255;38151;23234;2070;27001;472;9696;10126;13096;4416;11059
t3364;6286;7838;3993;5834;47336;2703;22645;38103;22813;2017;27179;480;9700;10268;12833;4346;10815
t3365;7239;8117;4116;6005;50441;2848;24215;40412;22644;2001;27591;502;9829;10314;13013;4325;11290
t3366;8262;8872;4429;6955;58603;3429;26427;45095;23125;1986;30463;556;10719;11475;15163;4272;13069
t3367;8693;9848;4873;7562;65131;4108;28813;49615;27738;2188;36352;637;12567;12713;17250;4406;14610
t3368;8744;10389;5079;7660;68560;4383;30187;52571;33565;2748;41540;685;14083;13093;18190;5106;14989
t3369;8783;10897;5072;7729;69440;4466;30968;54055;35560;3191;43472;703;14855;12997;18518;5805;15107
t3370;8929;11120;5225;7533;71155;4581;31337;55175;36064;3306;44083;714;15078;12985;18485;6109;15460
t3371;8875;11422;5389;7617;72628;4546;31829;56302;35831;3306;44224;727;15203;12865;18757;6234;15470
t3372;8787;11131;4998;7737;72067;4454;31773;56198;35856;3318;42301;714;15130;12806;18842;6384;15360
t3373;8674;10858;5072;7645;71347;4490;30471;55177;35805;3348;42014;697;15326;12620;18885;6056;15330
t3374;8622;10698;5164;7551;70241;4399;29870;53762;35325;3291;42747;682;15242;12695;18636;6150;15116
t3375;8506;10660;5113;7573;68687;4231;29409;52206;35079;3276;42785;667;15146;12774;18380;6351;15136
t3376;8418;10493;4976;7504;66835;4160;29510;51037;35243;3289;42546;660;15101;12684;18086;6326;14796
t3377;8342;10477;4868;7372;66312;4285;29244;50770;36550;3341;41198;663;14897;12510;17793;6226;14761
t3378;8202;10363;4838;7249;65583;4143;29004;52489;37009;3371;39632;665;14122;12444;17465;6069;14342
t3379;7981;10125;4697;7308;64624;3928;29369;51173;36245;3322;39419;652;13718;12442;17625;6036;14155
t3380;7944;9800;4599;7306;62192;3730;30415;48191;35273;3153;40005;630;13287;12330;17931;6146;13845
t3381;7707;9669;4733;7234;61340;3609;29195;47399;34333;3040;39745;604;13156;12139;18265;6200;13497
t3382;7192;9754;4658;6855;58523;3505;26535;50370;34019;3018;36329;586;12773;12024;16916;6166;13120
t3383;6619;9273;4526;6410;53590;3152;25053;49149;31702;2980;33224;543;11920;11427;15524;5790;12114
t3384;6406;8541;4953;6109;50338;2938;23570;44007;27424;2637;29936;498;10854;10778;14396;5181;11430
t3385;6058;8129;4985;6101;48462;2806;22744;42707;24703;2364;28198;484;10197;10550;13709;4805;11050
t3386;5967;7908;4953;5984;47300;2788;22077;40435;23849;2163;27336;479;9937;10470;13407;4549;10939
t3387;5761;7810;4791;5839;47361;2817;21900;38515;23121;2045;26939;476;9784;10315;13414;4413;10828
t3388;6050;7885;4554;5789;48295;2832;22268;38706;22634;1995;26989;486;9799;10222;13028;4367;10656
t3389;6863;8142;4814;5963;51068;2932;23825;40892;22356;1983;27430;497;9887;10382;13254;4363;11123
t3390;8052;8848;4629;6908;58884;3484;26303;45809;22942;1983;30353;539;10858;11449;15330;4239;12797
t3391;8750;9779;4991;7466;65262;4132;28743;50171;27488;2165;35949;618;12721;12994;17280;4337;14685
t3392;9013;10275;5308;7670;68413;4411;30004;52073;33465;2714;40866;661;14121;13349;18257;5064;15293
t3393;9076;10733;5389;7777;69367;4465;30638;53345;35971;3139;43213;684;14699;12983;18608;5817;15406
t3394;9203;10728;5567;7674;71019;4559;31109;54298;36809;3252;43745;698;14781;12984;18660;5993;15571
t3395;9333;10873;5793;7754;72638;4562;31364;55200;37122;3247;44113;719;14794;12880;19010;6098;15582
t3396;9021;10751;5352;7831;71628;4475;31184;55325;37611;3270;41911;701;14692;12858;19169;6178;15471
t3397;9047;10815;5532;7673;71060;4482;29832;53813;37606;3306;41742;691;14779;12879;19166;5975;15479
t3398;8995;10546;5532;7613;70130;4416;29090;52808;37374;3278;42817;683;14796;12718;18956;6087;15369
t3399;8836;10448;5470;7717;68900;4265;29115;51463;36920;3244;42287;693;14770;12820;18670;6181;15354
t3400;8754;10489;5344;7670;67357;4150;29234;50309;36670;3286;42300;677;14710;12665;18358;6122;15122
t3401;8738;10609;5179;7469;67194;4237;28862;50061;37931;3375;40926;677;14627;12446;17983;6119;14976
t3402;8512;10324;5110;7307;66500;4101;28803;51776;38323;3436;39662;678;13943;12324;17717;5926;14615
t3403;8104;9935;4896;7335;65280;3925;29165;50252;37519;3391;39650;666;13638;12346;17877;5876;14453
t3404;8078;9489;4780;7293;63004;3750;30204;47328;36471;3245;40047;627;13282;12232;18203;5960;14143
t3405;7740;9301;4812;7243;61622;3622;29056;47128;35234;3081;39208;603;12896;12081;18666;6074;13782
t3406;7387;9547;4623;6941;58121;3509;26553;50278;34546;3026;35865;579;12528;11861;17343;6221;13364
t3407;6762;9153;4632;6466;53223;3159;25034;49172;31552;2964;32475;535;11744;11247;15827;5769;12343
t3408;6385;8438;4855;6155;49791;2910;23436;44148;27345;2657;29907;508;10757;10675;14681;5143;11484
t3409;6050;8017;4781;6099;47918;2780;22522;42785;24173;2413;28163;487;10053;10358;14016;4826;11157
t3410;5928;7711;4594;5971;46803;2721;22193;40456;23203;2233;27359;481;9715;10133;13667;4591;10927
t3411;5843;7682;4407;5815;46873;2717;22121;38651;22555;2090;26914;483;9599;10149;13549;4408;10780
t3412;6009;7813;4247;5786;47827;2745;22518;38926;22131;2027;27038;486;9583;10099;13140;4392;10595
t3413;6787;8080;4545;5897;50746;2891;24083;41158;21897;2020;27650;512;9697;10243;13279;4335;11019
t3414;8090;8843;4540;6888;58516;3471;26607;46170;22354;2012;30590;561;10616;11352;15325;4308;12913
t3415;8807;9814;5014;7450;65165;4108;28799;50730;26909;2187;36505;629;12488;12790;17322;4494;14584
t3416;9080;10378;5414;7652;68798;4412;30127;52704;32960;2689;41456;681;14028;13316;18270;5228;15173
t3417;9214;10749;5309;7757;69575;4488;30874;53747;35873;3109;42943;709;14764;13173;18743;5936;15394
t3418;9298;10853;5304;7705;70982;4560;31130;54357;36796;3311;43462;724;14990;13174;18832;6025;15646
t3419;9350;11120;5336;7817;72198;4514;31517;54962;36865;3362;44455;743;15112;13047;19173;6142;15597
t3420;9020;10842;4866;7758;71597;4404;31267;55028;36809;3352;42542;720;14915;13077;19435;6210;15518
t3421;8810;10674;4895;7580;70101;4325;29913;53311;36585;3377;42196;695;14998;12844;19371;5952;15207
t3422;8731;10483;4874;7502;68059;4139;29050;52014;35986;3336;42237;678;14813;12465;19046;6166;14792
t3423;8630;10331;4749;7553;66478;3972;28882;50453;35324;3255;42067;658;14496;12460;19026;6235;14616
t3424;8606;10231;4542;7520;65099;3951;28718;49048;34932;3234;41647;632;14288;12335;18521;6204;14190
t3425;8598;10100;4475;7391;64424;4149;28280;48977;35619;3264;40347;639;14211;12288;18165;6016;14127
t3426;8383;9938;4558;7200;63596;4069;28090;50047;35960;3313;38779;648;13575;12276;17780;5693;13823
t3427;8024;9595;4398;7083;62168;3779;28107;48733;35600;3299;38498;625;13111;12196;17784;5699;13400
t3428;7742;9222;4302;6994;59663;3551;29049;46356;34494;3161;38697;595;12678;11942;18009;5736;12902
t3429;7320;9034;4431;6806;58194;3389;28503;46879;33381;3038;38523;571;12273;11764;18297;5881;12565
t3430;7011;9387;4303;6375;56029;3297;26283;50278;32871;2991;35362;566;12211;11560;17141;6034;12406
t3431;6492;9087;4079;5982;51834;3034;24939;49042;30730;2883;32499;532;11612;11214;15850;5703;11774
t3432;6115;8474;4099;5642;48094;2778;23391;43752;27161;2646;29743;504;10653;10804;14509;5189;11001
t3433;5776;7987;4210;5502;45820;2631;22190;42098;24367;2425;28047;480;9944;10416;13790;4735;10594
t3434;5594;7612;4070;5445;44279;2545;21711;39494;23411;2232;26888;469;9518;10169;13366;4433;10330
t3435;5411;7409;4009;5433;43938;2514;21305;37407;22533;2081;26261;464;9321;10085;13163;4330;10160
t3436;5449;7331;3827;5372;43958;2479;21145;36903;21883;2002;26199;469;9187;9976;12808;4233;9867
t3437;5600;7198;3891;5149;43819;2453;21225;37063;21483;1983;25900;479;8956;9904;12524;4168;9848
t3438;6190;7387;3913;5435;45927;2616;21381;38241;21276;1960;26470;476;9180;10076;13462;4019;10170
t3439;6860;7821;3791;5808;50320;2937;23315;40704;23083;2005;30076;509;9928;10521;14788;3949;10949
t3440;7273;8506;3924;6196;55095;3279;25691;43994;26415;2224;33849;542;10965;11125;16060;4149;11925
t3441;7594;9032;3965;6546;58266;3516;27283;46023;29958;2553;35946;565;12002;11765;16760;4635;12644
t3442;7750;9235;3971;6705;59713;3594;27757;46818;32287;2856;36811;583;12364;12041;17159;4984;12898
t3443;7818;9433;4027;6860;60271;3570;27788;47885;32944;3024;36850;606;12412;12109;17284;5126;12876
t3444;7442;9434;4020;6633;58527;3523;27944;49433;32887;3089;35408;602;12238;11981;17175;5269;12814
t3445;7255;9256;4014;6456;56739;3455;27106;46581;32321;3115;34083;575;11993;11874;17059;5240;12703
t3446;7108;8996;3998;6351;55064;3387;25556;44590;31495;3062;33171;564;11843;11676;16381;5130;12548
t3447;7063;8830;4114;6282;54100;3315;24719;42849;30818;2976;32785;535;11645;11428;16042;5082;12461
t3448;7050;8872;4174;6144;53263;3330;24276;41707;30603;2916;32662;534;11582;11437;15720;4880;12310
t3449;7065;8885;4295;6048;53304;3504;24350;42040;31179;2923;32639;543;11788;11504;15501;4868;12293
t3450;6877;8882;3878;6020;53357;3492;24731;43393;32273;3023;32357;560;11776;11555;15540;4744;12092
t3451;6709;8733;3852;6012;52512;3287;25292;42845;32311;3070;32548;558;11575;11562;15469;4960;12051
t3452;6762;8565;3821;6021;50523;3160;26307;41627;31749;2952;33138;547;11376;11403;15713;5068;11836
t3453;6619;8445;4058;6079;49767;3040;25782;42869;30749;2812;33463;539;11201;11242;15881;5253;11660
t3454;6336;8723;4050;5888;48861;3039;24462;47202;30622;2749;31319;535;11276;11184;15106;5412;11597
t3455;5860;8363;3956;5594;45742;2860;23319;46956;29185;2697;29197;513;10763;11069;13912;5139;11122
t3456;5573;7907;4337;5230;42416;2658;21755;42218;26084;2514;26937;488;10029;10596;12941;4728;10594
t3457;5230;7465;4222;5094;40433;2521;20451;40621;23503;2359;24986;464;9360;10407;12162;4413;10178
t3458;5151;7107;4104;5077;39458;2443;19820;37812;22490;2194;23951;453;8980;10203;11867;4113;10048
t3459;4957;7020;4084;5012;38890;2412;19465;35521;21623;2046;23443;454;8772;10058;11625;3959;9911
t3460;4942;6989;3973;4901;38902;2361;19301;34659;20919;1947;23274;443;8655;9887;11070;3927;9610
t3461;4976;6860;3981;4666;38540;2336;19114;34030;20364;1916;22677;442;8383;9789;10818;3859;9565
t3462;5252;6948;3871;4868;39464;2477;18891;34286;19761;1866;22265;423;8354;9884;11306;3668;9939
t3463;5728;7212;3710;5230;42289;2760;19737;36083;20761;1852;24120;440;8718;10171;12195;3609;10413
t3464;6049;7726;3698;5660;46155;3088;21396;38833;22688;1995;26884;468;9417;10607;13157;3768;11206
t3465;6351;8296;3894;6054;49093;3322;22809;41186;25455;2256;29193;490;10151;11133;14025;4065;11950
t3466;6628;8486;3978;6319;51232;3424;23552;42547;28063;2509;30302;514;10619;11504;14536;4403;12351
t3467;6756;8645;3969;6431;53215;3449;23823;43827;29698;2742;30889;530;10885;11567;14615;4701;12545
t3468;6487;8658;3993;6206;52870;3432;24224;45529;30322;2871;30858;529;11035;11572;14694;4893;12509
t3469;6278;8538;3974;6156;50779;3400;23980;41918;30643;2977;29544;508;10919;11592;14596;4945;12435
t3470;6090;8224;3818;6076;49213;3347;22734;39964;29721;2986;28938;490;10738;11553;14342;4727;12295
t3471;6030;8122;3982;6082;47995;3312;21950;38479;28862;2892;28539;479;10582;11559;14026;4622;12299
t3472;6064;8078;4232;6002;47467;3350;21583;37657;28593;2814;28307;477;10700;11587;13787;4527;12369
t3473;6275;8255;4315;5929;48443;3592;21856;38474;29343;2798;28306;487;11231;11602;13728;4453;12472
t3474;6432;8398;3913;6069;49912;3616;22328;41018;30204;2872;28382;501;11392;11685;13923;4481;12565
t3475;6509;8550;3855;6260;50280;3492;23435;42367;30268;2931;29226;510;11313;11883;14099;4625;12715
t3476;6581;8439;3860;6340;49881;3390;25622;41957;29906;2880;30499;514;11213;11959;14420;4841;12737
t3477;6582;8477;4044;6504;50268;3296;26589;42808;29501;2794;31738;513;11103;11950;15151;5074;12616
t3478;6462;8795;3987;6461;50855;3223;24617;46704;29900;2763;30146;526;11364;11834;14714;5347;12544
